Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-22,117035.0,118401.0,117035.0,118391.0,5765700,0,0
2020-01-23,118391.0,119535.0,116906.0,119528.0,6572400,0,0
2020-01-24,119528.0,119593.0,118108.0,118376.0,4778700,0,0
2020-01-27,118347.0,118347.0,114376.0,114482.0,6097800,0,0
2020-01-28,114482.0,116797.0,114475.0,116479.0,5229400,0,0
2020-01-29,116494.0,117171.0,115164.0,115385.0,5097800,0,0
2020-01-30,115375.0,115528.0,112825.0,115528.0,6315600,0,0
2020-01-31,115518.0,115518.0,113148.0,113761.0,6219900,0,0
2020-02-03,113761.0,115299.0,113467.0,114629.0,5512200,0,0
2020-02-04,114631.0,116556.0,114631.0,115557.0,5829400,0,0
2020-02-05,115563.0,117701.0,115562.0,116028.0,7173800,0,0
2020-02-06,116033.0,117382.0,114723.0,115190.0,7382400,0,0
2020-02-07,115190.0,115190.0,113769.0,113770.0,6594100,0,0
2020-02-10,113771.0,114176.0,112134.0,112570.0,7486300,0,0
2020-02-11,112574.0,115576.0,112574.0,115371.0,6767900,0,0
2020-02-12,115371.0,117581.0,115371.0,116674.0,8159200,0,0
2020-02-13,116660.0,116660.0,114801.0,115662.0,5635700,0,0
2020-02-14,115663.0,115663.0,114132.0,114381.0,5335900,0,0
2020-02-17,114381.0,115696.0,114381.0,115309.0,0,0,0
2020-02-18,115309.0,115309.0,113532.0,114977.0,5548400,0,0
2020-02-19,114982.0,116545.0,114774.0,116518.0,6334100,0,0
2020-02-20,116518.0,116552.0,114379.0,114586.0,6793000,0,0
2020-02-21,114585.0,114585.0,112661.0,113681.0,5896200,0,0
2020-02-26,113647.0,113647.0,105053.0,105718.0,9369800,0,0
2020-02-27,105711.0,106656.0,102984.0,102984.0,11237700,0,0
2020-02-28,102984.0,104172.0,99951.0,104172.0,11228400,0,0
2020-03-02,104260.0,107220.0,103779.0,106625.0,8858400,0,0
2020-03-03,106630.0,108804.0,104405.0,105537.0,9385600,0,0
2020-03-04,105540.0,107809.0,105042.0,107224.0,8410500,0,0
2020-03-05,107217.0,107217.0,100536.0,102233.0,8598600,0,0
2020-03-06,102231.0,102231.0,96886.0,97997.0,11864200,0,0
2020-03-09,97982.0,97982.0,85880.0,86067.0,14645500,0,0
2020-03-10,86071.0,92230.0,86071.0,92214.0,13531700,0,0
2020-03-11,92202.0,92202.0,80796.0,85171.0,11786900,0,0
2020-03-12,85103.0,85103.0,68488.0,72583.0,12008700,0,0
2020-03-13,72621.0,83758.0,72621.0,82678.0,15766300,0,0
2020-03-16,82565.0,82565.0,70855.0,71168.0,12847800,0,0
2020-03-17,71178.0,77255.0,70783.0,74617.0,14945900,0,0
2020-03-18,74576.0,74576.0,63547.0,66895.0,16751500,0,0
2020-03-19,66883.0,70071.0,61691.0,68332.0,16144700,0,0
2020-03-20,68344.0,72247.0,66120.0,67069.0,15152400,0,0
2020-03-23,67067.0,67604.0,62161.0,63570.0,11962200,0,0
2020-03-24,63604.0,71535.0,63604.0,69729.0,11679900,0,0
2020-03-25,69727.0,76714.0,69360.0,74956.0,12951100,0,0
2020-03-26,74956.0,78846.0,74923.0,77710.0,12758000,0,0
2020-03-27,77708.0,77708.0,73057.0,73429.0,10301400,0,0
2020-03-30,73431.0,75430.0,73184.0,74640.0,9032200,0,0
2020-03-31,74629.0,75511.0,72385.0,73020.0,11141500,0,0
2020-04-01,73011.0,73011.0,69569.0,70967.0,10093500,0,0
2020-04-02,70969.0,73861.0,70957.0,72253.0,10540200,0,0
2020-04-03,72241.0,72241.0,67802.0,69538.0,10411300,0,0
2020-04-06,69556.0,75260.0,69556.0,74073.0,9685400,0,0
2020-04-07,74078.0,79855.0,74078.0,76358.0,11286500,0,0
2020-04-08,76335.0,79058.0,76115.0,78625.0,10206300,0,0
2020-04-09,78640.0,80428.0,77457.0,77682.0,10748700,0,0
2020-04-13,77682.0,78836.0,76405.0,78836.0,7651300,0,0
2020-04-14,78848.0,81668.0,78848.0,79918.0,8593600,0,0
2020-04-15,79911.0,80035.0,77546.0,78831.0,9758400,0,0
2020-04-16,78837.0,80167.0,77452.0,77812.0,9028400,0,0
2020-04-17,77817.0,79846.0,77754.0,78990.0,8317800,0,0
2020-04-20,78989.0,80106.0,76943.0,78973.0,8874700,0,0
2020-04-22,78973.0,81184.0,78973.0,80687.0,9848900,0,0
2020-04-23,80690.0,81934.0,78622.0,79673.0,10823500,0,0
2020-04-24,79667.0,79667.0,72041.0,75331.0,16529200,0,0
2020-04-27,75334.0,78563.0,75327.0,78239.0,10656900,0,0
2020-04-28,78243.0,81427.0,78243.0,81312.0,12939000,0,0
2020-04-29,81313.0,83598.0,81313.0,83171.0,11719700,0,0
2020-04-30,83169.0,83169.0,80168.0,80506.0,11804600,0,0
2020-05-04,80501.0,80502.0,77640.0,78876.0,8594200,0,0
2020-05-05,78887.0,81066.0,78886.0,79471.0,9154700,0,0
2020-05-06,79473.0,79996.0,78056.0,79064.0,9775900,0,0
2020-05-07,79072.0,80061.0,78061.0,78119.0,13808900,0,0
2020-05-08,78152.0,80557.0,78152.0,80263.0,10734400,0,0
2020-05-11,80263.0,80723.0,78994.0,79065.0,9781900,0,0
2020-05-12,79065.0,80344.0,77872.0,77872.0,10245400,0,0
2020-05-13,77877.0,78911.0,77152.0,77772.0,11575900,0,0
2020-05-14,77770.0,79011.0,75697.0,79011.0,13818900,0,0
2020-05-15,79011.0,79538.0,77426.0,77557.0,11718200,0,0
2020-05-18,77576.0,81420.0,77571.0,81194.0,11533100,0,0
2020-05-19,81197.0,82175.0,80647.0,80742.0,10740100,0,0
2020-05-20,80747.0,82290.0,80740.0,81319.0,9522800,0,0
